"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4C_Growth_Homophily"
"07/28/2026 22:23:22:464 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","4","252","4.011904761904762"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","234","4.051282051282051"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","4","233","4.0042918454935625"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","234","4.051282051282051"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","8","225","4.04"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","5","232","4"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","234","4.051282051282051"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","6","230","4"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","13","250","3.836"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","13","266","3.7857142857142856"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","234","4.051282051282051"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","5","251","4.01195219123506"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","9","225","4.04"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","250","4.08"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","233","4.051502145922747"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","266","4.06390977443609"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","250","4.096"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","264","4.053030303030303"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","6","251","4.01195219123506"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","231","4.0519480519480515"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","250","4.092"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","230","4.056521739130435"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","248","4.092741935483871"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","10","225","4.04"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","264","4.056818181818182"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","230","4.060869565217391"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","248","4.092741935483871"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","264","4.056818181818182"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","7","229","4"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","11","224","4.040178571428571"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","261","4.057471264367816"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","230","4.060869565217391"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","228","4.065789473684211"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","12","224","4.040178571428571"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","245","4.093877551020408"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","7","251","4.01195219123506"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","225","4.066666666666666"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","8","228","3.995614035087719"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","245","4.093877551020408"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","261","4.057471264367816"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","9","228","3.991228070175439"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","245","4.093877551020408"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","8","249","4.016064257028113"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","261","4.053639846743295"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","259","4.057915057915058"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","9","248","4.016129032258065"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","244","4.094262295081967"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","232","3.9439655172413794"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","242","4.095041322314049"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","230","4.039130434782609"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","258","4.054263565891473"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","241","4.095435684647303"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","27","228","4.030701754385965"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","10","227","3.9911894273127753"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","258","4.054263565891473"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","258","4.054263565891473"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","11","224","3.9910714285714284"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","13","245","3.693877551020408"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","245","4.057142857142857"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","28","228","4.026315789473684"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","10","247","4.016194331983805"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","29","227","4.0176211453744495"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","12","222","3.990990990990991"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","256","3.8359375"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","30","227","4.022026431718062"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","11","246","4.016260162601626"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","243","4.053497942386831"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","268","3.888059701492537"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","12","244","4.012295081967213"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","254","4.062992125984252"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","268","4.041044776119403"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","27","253","4.075098814229249"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","27","268","4.037313432835821"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","31","227","4.013215859030837"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","32","225","4.017777777777778"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","33","225","4.013333333333334"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","28","268","4.037313432835821"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","28","252","4.075396825396825"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","241","4.04149377593361"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","29","267","4.037453183520599"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","29","252","4.067460317460317"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","30","267","4.037453183520599"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","34","225","4.017777777777778"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","30","250","4.068"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","240","4.041666666666667"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","13","261","3.7509578544061304"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","35","225","4.017777777777778"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","240","4.05"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","36","223","4.013452914798206"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","31","267","4.037453183520599"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","261","3.9846743295019156"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","31","250","4.064"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","13","242","3.6611570247933884"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","32","266","4.037593984962406"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","32","250","4.064"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","33","265","4.037735849056604"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","260","3.996153846153846"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","14","242","4.020661157024794"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","33","246","4.065040650406504"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","37","245","3.6489795918367345"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","15","241","4.008298755186722"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","38","244","4.061475409836065"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","240","4.041666666666667"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","39","244","4.061475409836065"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","237","4.037974683544304"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","34","263","4.038022813688213"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","35","263","4.038022813688213"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","34","245","4.073469387755102"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","237","4.037974683544304"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","36","263","4.038022813688213"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","35","245","4.081632653061225"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","40","243","4.065843621399177"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","240","3.995833333333333"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","36","245","4.081632653061225"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","41","243","4.061728395061729"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","16","259","3.996138996138996"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","240","3.9875"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","42","243","4.065843621399177"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","237","3.9873417721518987"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","17","259","3.9922779922779923"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","18","258","3.996124031007752"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","236","4.038135593220339"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","43","241","4.058091286307054"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","236","4.038135593220339"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","37","252","3.9523809523809526"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","37","272","3.886029411764706"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","237","3.9873417721518987"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","44","241","4.062240663900415"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","236","4.038135593220339"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","38","250","4.084"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","38","272","4.033088235294118"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","45","239","4.058577405857741"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","236","3.98728813559322"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","39","249","4.080321285140562"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","39","270","4.033333333333333"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","235","3.9872340425531916"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","19","257","3.9961089494163424"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","46","239","4.062761506276151"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","20","257","4.003891050583658"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","47","238","4.0588235294117645"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","40","248","4.080645161290323"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","48","238","4.063025210084033"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","21","257","4.003891050583658"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","40","269","4.022304832713755"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","41","246","4.08130081300813"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","41","269","4.022304832713755"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","42","244","4.081967213114754"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","258","3.693798449612403"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","42","269","4.022304832713755"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","235","3.9872340425531916"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","258","4.034883720930233"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","235","3.9872340425531916"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","27","258","4.0271317829457365"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","233","3.9871244635193133"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","49","254","3.7874015748031495"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","43","268","4.022388059701493"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","22","257","4.003891050583658"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","43","244","4.081967213114754"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","50","253","4.019762845849803"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","44","268","4.022388059701493"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","44","244","4.081967213114754"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","51","253","4.007905138339921"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","45","267","4.022471910112359"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","28","258","4.01937984496124"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","23","255","4.007843137254902"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","45","243","4.082304526748971"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","29","256","4.0234375"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","24","255","4.007843137254902"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","30","253","4.015810276679842"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","52","252","4.007936507936508"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","46","267","4.022471910112359"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","53","252","4.007936507936508"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","46","240","4.083333333333333"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","248","3.7016129032258065"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","54","252","4.011904761904762"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","47","265","4.018867924528302"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","47","240","4.083333333333333"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","248","3.935483870967742"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","48","265","4.0150943396226415"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","27","248","3.931451612903226"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","48","240","4.083333333333333"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","31","251","4.0199203187251"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","55","251","4.01593625498008"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","32","249","4.024096385542169"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","56","251","4.01195219123506"
