"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wh_sweep"
"07/24/2026 01:58:07:708 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_household","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"5","0","13","3.8974358974358974","2","234","87","9.666666666666666"
"4","0","19","4","4","237","128","9.594936708860759"
"3","0","19","4","5","224","147","9.348214285714286"
"2","0","20","4.004048582995951","1","247","102","9.255060728744938"
"3","0","20","4","5","224","147","9.348214285714286"
"6","0","14","3.9844357976653697","0","257","90","9.17509727626459"
"2","0","21","4.004048582995951","1","247","102","9.255060728744938"
"3","0","21","4","5","224","147","9.348214285714286"
"4","0","20","4","4","237","128","9.594936708860759"
"5","0","14","3.9913793103448274","2","232","87","9.577586206896552"
"1","0","16","3.9958677685950414","2","242","84","9.396694214876034"
"4","0","21","4","4","236","128","9.55084745762712"
"6","0","15","3.988235294117647","1","255","90","9.090196078431372"
"5","0","15","4","3","231","87","9.532467532467532"
"3","0","22","4","5","224","156","9.428571428571429"
"1","0","17","3.9958677685950414","2","242","84","9.396694214876034"
"2","0","22","4.004065040650406","1","246","114","9.308943089430894"
"3","0","23","4","5","224","156","9.428571428571429"
"1","0","18","3.995850622406639","2","241","84","9.352697095435685"
"3","0","24","4","5","224","156","9.428571428571429"
"4","0","22","4","4","235","135","9.565957446808511"
"2","0","23","4.004065040650406","1","246","114","9.308943089430894"
"4","0","23","4","4","234","135","9.52991452991453"
"6","0","16","4.00398406374502","1","251","102","9.01195219123506"
"2","0","24","4.004065040650406","1","246","114","9.308943089430894"
"5","0","16","4","3","231","97","9.619047619047619"
"4","0","24","4","4","231","135","9.402597402597403"
"6","0","17","4.00398406374502","1","251","102","9.01195219123506"
"5","0","17","4","3","231","97","9.619047619047619"
"1","0","19","3.995850622406639","2","241","91","9.410788381742739"
"6","0","18","4.004032258064516","3","248","102","8.89516129032258"
"5","0","18","4","3","231","97","9.619047619047619"
"3","0","25","3.6872427983539096","5","243","161","9.201646090534979"
"1","0","20","3.99581589958159","2","239","91","9.322175732217573"
"3","0","26","4.008264462809917","5","242","161","9.15702479338843"
"1","0","21","3.99581589958159","2","239","91","9.322175732217573"
"3","0","27","4.012396694214876","5","242","161","9.15702479338843"
"4","0","25","3.68","4","250","158","9.296"
"5","0","19","4","3","230","105","9.643478260869566"
"3","0","28","4.012396694214876","5","242","167","9.206611570247935"
"2","0","25","3.646840148698885","1","269","124","9.159851301115241"
"4","0","26","4.004016064257028","4","249","158","9.25301204819277"
"1","0","22","3.995798319327731","2","238","102","9.428571428571429"
"3","0","29","4.0125","5","240","167","9.116666666666667"
"2","0","26","3.9888059701492535","1","268","124","9.119402985074627"
"4","0","27","4","4","248","158","9.209677419354838"
"3","0","30","4.01255230125523","5","239","167","9.07112970711297"
"5","0","20","4","3","230","105","9.643478260869566"
"2","0","27","3.992481203007519","2","266","124","9.037593984962406"
"1","0","23","3.995798319327731","2","238","102","9.428571428571429"
"5","0","21","4","3","230","105","9.643478260869566"
"6","0","19","4.004048582995951","3","247","136","9.125506072874494"
"1","0","24","3.995798319327731","2","238","102","9.428571428571429"
"6","0","20","4.004048582995951","3","247","136","9.125506072874494"
"3","0","31","4.01255230125523","5","239","182","9.196652719665272"
"4","0","28","4","5","246","169","9.211382113821138"
"4","0","29","4","5","245","169","9.16734693877551"
"3","0","32","4.012605042016807","5","238","182","9.193277310924369"
"3","0","33","4.012658227848101","5","237","182","9.147679324894515"
"6","0","21","4.004048582995951","3","247","136","9.125506072874494"
"4","0","30","4","5","244","169","9.188524590163935"
"2","0","28","3.9924528301886792","2","265","141","9.162264150943397"
"5","0","22","4","3","230","111","9.695652173913043"
"1","0","25","3.742063492063492","2","252","109","9.23015873015873"
"2","0","29","3.992424242424242","2","264","141","9.128787878787879"
"5","0","23","4","3","229","111","9.65065502183406"
"2","0","30","3.9923954372623576","2","263","141","9.087452471482889"
"4","0","31","4","7","241","184","9.178423236514522"
"5","0","24","4","3","229","111","9.65065502183406"
"1","0","26","4","2","252","109","9.23015873015873"
"3","0","34","4.012765957446809","5","235","197","9.217021276595744"
"4","0","32","4","8","239","184","9.154811715481172"
"3","0","35","4.012765957446809","5","235","197","9.217021276595744"
"1","0","27","4","2","251","109","9.187250996015937"
"4","0","33","4","8","239","184","9.154811715481172"
"6","0","22","4.004065040650406","3","246","152","9.211382113821138"
"3","0","36","4.012875536480687","5","233","197","9.124463519313304"
"6","0","23","4.004081632653061","3","245","152","9.16734693877551"
"2","0","31","3.9923664122137406","3","262","154","9.145038167938932"
"5","0","25","3.592156862745098","3","255","117","9.113725490196078"
"2","0","32","3.992337164750958","3","261","154","9.10344827586207"
"6","0","24","4.004098360655738","3","244","152","9.12295081967213"
"1","0","28","4","2","251","119","9.266932270916335"
"4","0","34","4","8","238","204","9.277310924369749"
"2","0","33","3.992337164750958","3","261","154","9.10344827586207"
"5","0","26","4.019607843137255","3","255","117","9.113725490196078"
"1","0","29","4","2","250","119","9.224"
"4","0","35","4","8","236","204","9.186440677966102"
"5","0","27","4.011764705882353","3","255","117","9.113725490196078"
"1","0","30","4","2","250","119","9.224"
"4","0","36","4","9","235","204","9.157446808510638"
"3","0","37","3.8155737704918034","5","244","215","9.352459016393443"
"3","0","38","4","6","243","215","9.308641975308642"
"3","0","39","4","6","241","215","9.261410788381744"
"2","0","34","3.992337164750958","3","261","181","9.310344827586206"
"1","0","31","4","2","249","133","9.293172690763052"
"4","0","37","3.9327731092436973","10","238","231","9.495798319327731"
"5","0","28","4.003921568627451","3","255","124","9.168627450980392"
"2","0","35","3.992337164750958","3","261","181","9.310344827586206"
"1","0","32","4","2","249","133","9.293172690763052"
"5","0","29","4","3","254","124","9.125984251968504"
"4","0","38","4","10","238","231","9.495798319327731"
"6","0","25","3.726923076923077","3","260","174","9.123076923076923"
"2","0","36","3.9923076923076923","3","260","181","9.26923076923077"
"4","0","39","4","10","237","231","9.451476793248945"
