"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"5","0.5","11","4.094594594594595","2","222","82","9.594594594594595"
"4","4","9","4.0144927536231885","0","207","57","9.478260869565217"
"6","1","10","3.9695652173913043","0","230","84","9.513043478260869"
"3","2","10","3.9875","1","240","74","9.566666666666666"
"6","1","11","3.9695652173913043","0","230","84","9.513043478260869"
"3","2","11","3.9916666666666667","1","240","74","9.566666666666666"
"5","0.5","12","4.094594594594595","2","222","82","9.594594594594595"
"1","0.5","6","4.030701754385965","2","228","57","9.37719298245614"
"6","1","12","3.9695652173913043","0","230","84","9.513043478260869"
"3","2","12","3.9916666666666667","1","240","74","9.566666666666666"
"4","4","10","4.014705882352941","2","204","74","9.5"
"2","1","7","4.0344827586206895","1","232","80","9.577586206896552"
"5","0.5","13","3.8846153846153846","2","234","89","9.41025641025641"
"4","4","11","4.014925373134329","2","201","74","9.35323383084577"
"6","1","13","3.623015873015873","0","252","97","9.293650793650794"
"2","1","8","4.0344827586206895","1","232","80","9.577586206896552"
"4","4","12","4.014925373134329","2","201","74","9.35323383084577"
"5","0.5","14","4.07725321888412","2","233","89","9.36480686695279"
"6","1","14","4.044176706827309","0","249","97","9.164658634538153"
"1","0.5","7","4.030837004405286","2","227","81","9.541850220264317"
"3","2","13","3.7176470588235295","2","255","87","9.388235294117647"
"5","0.5","15","4.07725321888412","2","233","89","9.36480686695279"
"6","1","15","4.05241935483871","0","248","97","9.120967741935484"
"2","1","9","4.0344827586206895","1","232","80","9.577586206896552"
"3","2","14","3.9725490196078432","2","255","87","9.388235294117647"
"1","0.5","8","4.026785714285714","2","224","81","9.428571428571429"
"3","2","15","3.9686274509803923","2","255","87","9.388235294117647"
"5","0.5","16","4.07725321888412","2","233","99","9.450643776824034"
"1","0.5","9","4.022421524663677","2","223","81","9.38116591928251"
"5","0.5","17","4.077586206896552","3","232","99","9.413793103448276"
"5","0.5","18","4.077922077922078","3","231","99","9.385281385281385"
"2","1","10","4.0344827586206895","1","232","84","9.612068965517242"
"4","4","13","3.7110091743119265","2","218","100","9.357798165137615"
"3","2","16","3.968503937007874","2","254","91","9.377952755905511"
