"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4B_Outmigration"
"07/28/2026 22:20:41:780 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [count link-neighbors] of turtles","mean [risk-score] of turtles"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","234","12.145299145299145","3.9786324786324787"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","234","12.179487179487179","4.012820512820513"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","236","12.110169491525424","4.072033898305085"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","233","12.120171673819742","4.012875536480687"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","234","12.145299145299145","3.9786324786324787"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","225","11.92","3.9066666666666667"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","236","12.110169491525424","4.072033898305085"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","241","12.348547717842324","4.012448132780083"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","233","12.120171673819742","4.012875536480687"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","223","11.829596412556054","3.905829596412556"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","236","12.110169491525424","4.012711864406779"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","243","12.074074074074074","3.9135802469135803"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","236","12.110169491525424","4.012711864406779"
